nom
Aa
Abatesco
Aber-Benoît
Aber-Ildut
Aber-Wrac'h
Acqua Tignese
Adour
Agay
Agly
Alesani
Aliso
Alistro
Arc
Argens
Riou de l'Argentière
Armançon
Arguenon
Arques
Aude
Aulne
Rivière d'Auray 
Authie
Auzance
Aven
Ay
Baillaury
Banche
Baraci
Batailler
Bélon
Bevinco
Bidassoa
Blavet
Boivre
Borrigo
Boscq
Boudigau
Brague
Bravona
Bresle
Buccatoggio
Buggiu
Butturacci
Cagne
Canche
Canella
Careï
Cavo
Charente
Chiola
Chiosura
Chiuni
Couesnon
Courant d'Huchet
Courant de Contis
Courant de Mimizan
Courant de Soustons
Creuse
Curé
Dardo
Diélette
Dives
Divette
Dordogne
Dourduff
Douron
Douve
Drochon
Drouet
Dun
Durdent
Ellé
Élorn
Escaut
Rivière d'Étel
Eygoutier
Eyre (ou Leyre)
Falleron
Fango
Figarella
Fium'Albino
Fium'Alto
Fiume Santu
Fiumorbo
Flèche
Flora
Fossan
Francolu
Frémur 
Gapeau
Garonne
Giscle
Golo
Gorbio
Gouessant
Gouët
Goyen
Grand Vallat
Grande Frayère
Guillec
Guyoult
Hérault
Horn
Huveaune
Ic
Isole
Jaudy
Kerallé
Kerdu
Kergolo
Lagunienu
Laïta
Las
Lava
Lay
Léguer
Lerre
Lez
Liamone
Liane
Libron
Liscia
Liscu
Loire
Loup
Luri
Magnan
Maravenne
Marle 
Massane
Maye
Rivière de Merrien
Meuse
Minaouët
Rivière de Morlaix
Moros
Nivelle
Rivière de Noyalo
Odet
Olmeta
Orb
Orne
Ortolo
Oso
Ostriconi
Paillon
Pellegrin
Rivière de Penerf
Penfeld
Penzé
Pietracorbara
Poggiolo
Rivière de Pont-l'Abbé
Porto
Porz Donan
Préconil
Prunelli
Quillimadec
Quinic
Rance
Rat
Ravaner
Regino
Reppe
Rhin
Rhône
Riberette
Rizzanese
Roscoat
Roubaud
Roya
Saâne
Sagone
Saigue
Rivière Saint-Éloi
Saint-Laurent
Saire
Scie
Scorff
Seccu
Sée
Seine
Sélune
Seudre
Seulles
Sèvre Niortaise
Siagne
Sienne
Sinope
Sisco
Slack
Solenzara
Somme
Stabiacciu
Taravo
Tavignano
Tech
Ter
Têt
Thar
Touloubre
Touques
Travo
Trieux
U Guadu Grande
Uhabia
Untxin
Valmont
Vanlée
Var
Ventilegne
Véret
Veules
Vidourle
Vie
Vienne
Vilaine
Vincin
Vire
Vistre
Warrenne
Wimereux
Yar
Yères
Yser
